,ACLED,ACLED,KDW,KDW
,admin1,admin2,ADMIN1,ADMIN2
Ethiopia,Addis Ababa,Addis Ababa,Addis Ababa,Region 14
Ethiopia,Afar,Zone 1,Afar,Awusi
Ethiopia,Afar,Zone 2,Afar,Kilbati
Ethiopia,Afar,Zone 3,Afar,Gabi
Ethiopia,Afar,Zone 4,Afar,Fanti
Ethiopia,Amhara,Awi,Amhara,Awi
Ethiopia,Amhara,East Gojam,Amhara,East Gojam
Ethiopia,Amhara,North Gondar,Amhara,North Gondar
Ethiopia,Amhara,North Shewa,Amhara,North Shewa
Ethiopia,Amhara,North Shewa (Amhara),Amhara,North Shewa
Ethiopia,Amhara,North Wollo,Amhara,North Wollo
Ethiopia,Amhara,Oromia Zone,Amhara,Oromia
Ethiopia,Amhara,South Gonder,Amhara,South Gondar
Ethiopia,Amhara,South Wollo,Amhara,South Wollo
Ethiopia,Amhara,Wag Hemira,Amhara,Wag Himra
Ethiopia,Amhara,West Gojam,Amhara,West Gojam
Ethiopia,Amhara,Bar Dar Sp. Zone,Amhara,West Gojam
Ethiopia,Benshangul-Gumaz,Asosa,Benshangul Gumuz,Asosa
Ethiopia,Benshangul-Gumaz,Kamashi,Benshangul Gumuz,Kemashi
Ethiopia,Benshangul-Gumaz,Metekel,Benshangul Gumuz,Metekel
Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa
Ethiopia,Gambela Peoples,Agnuak,Gambela,Agniwak
Ethiopia,Gambela Peoples,Nuer,Gambela,Nuer
Ethiopia,Gambela Peoples,Zone 1,Gambela,Mezhenger
Ethiopia,Harari People,Hundene,Harari,Harari
Ethiopia,Oromia,Arsi,Oromia,Arsi
Ethiopia,Oromia,Bale,Oromia,Bale
Ethiopia,Oromia,Borena,Oromia,Borena
Ethiopia,Oromia,East Harerghe,Oromia,East Hararge
Ethiopia,Oromia,East Shewa,Oromia,East Shewa
Ethiopia,Oromia,East Wellega,Oromia,East Wellega
Ethiopia,Oromia,Guji,Oromia,Gujii
Ethiopia,Oromia,Horo Gudru Welega,Oromia,Horo Guduru
Ethiopia,Oromia,Illubabor,Oromia,Ilubabor
Ethiopia,Oromia,Jimma,Oromia,Jimma
Ethiopia,Oromia,North Shewa,Oromia,North Shewa
Ethiopia,Oromia,North Shewa (Oromia),Oromia,North Shewa
Ethiopia,Oromia,Oromia-Finfinne,Addis Ababa,Addis Ababa
Ethiopia,Oromia,South West Shewa,Oromia,South West Shewa
Ethiopia,Oromia,West Harerghe,Oromia,West Hararge
Ethiopia,Oromia,West Shewa,Oromia,West Shewa
Ethiopia,Oromia,West Wellega,Oromia,West Wellega
Ethiopia,Southern Nations,Bench Maji,SNNPR,Bench Maji
Ethiopia,Southern Nations,Dawro,SNNPR,Dawro
Ethiopia,Southern Nations,Gamo Gofa,SNNPR,Gamo Gofa
Ethiopia,Southern Nations,Gedeo,SNNPR,Gedeo
Ethiopia,Southern Nations,Gurage,SNNPR,Gurage
Ethiopia,Southern Nations,Hadiya,SNNPR,Hadiya
Ethiopia,Southern Nations,Keffa,SNNPR,Keffa
Ethiopia,Southern Nations,Kembata Tembaro,SNNPR,Kembata Tembaro
Ethiopia,Southern Nations,Burji,SNNPR,Segen
Ethiopia,Southern Nations,Konso,SNNPR,Segen
Ethiopia,Southern Nations,Amaro,SNNPR,Segen
Ethiopia,Southern Nations,Sheka,SNNPR,Sheka
Ethiopia,Southern Nations,Sidama,SNNPR,Sidama
Ethiopia,Southern Nations,Silti,SNNPR,Silltie
Ethiopia,Southern Nations,South Omo,SNNPR,South Omo
Ethiopia,Southern Nations,Debub Omo,SNNPR,South Omo
Ethiopia,Southern Nations,Wolayita,SNNPR,Wolayita
Ethiopia,Somali,Afder,Somali,Afder
Ethiopia,Somali,Dollo,Somali,Dollo
Ethiopia,Somali,Fafan,Somali,Fafan
Ethiopia,Somali,Jarar,Somali,Jarar
Ethiopia,Somali,Korahe,Somali,Korahe
Ethiopia,Somali,Liben,Somali,Liben
Ethiopia,Somali,Nogob,Somali,Nogob
Ethiopia,Somali,Shabelle,Somali,Shebelle
Ethiopia,Somali,Sitti,Somali,Sitti
Ethiopia,Somali,Welwel & Warder,Somali,Dollo
Ethiopia,Tigray,Central Tigray,Tigray,Central Tigray
Ethiopia,Tigray,Eastern Tigray,Tigray,East Tigray
Ethiopia,Tigray,Southern Tigray,Tigray,South Tigray
Ethiopia,Tigray,Western Tigray,Tigray,West Tigray
Ethiopia,Oromia,Somali,DELETED,DELETED
