,admin1,admin2,year,month,fatalities,cc_event_count,actor_state,actor_rebel_groups,actor_political_militias,actor_identity_militias,actor_civilians,actor_others,cc_onset,admin0,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
0,Addis Ababa,Addis Ababa,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,22.234521126999997,0.0,15.661829023,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
1,Addis Ababa,Addis Ababa,1997,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.686830092899999,22.234521126999997,15.10533664,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
2,Addis Ababa,Addis Ababa,1997,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.779907054,7.686830092899999,17.460316478000006,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
3,Addis Ababa,Addis Ababa,1997,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,83.076371695,33.779907054,16.688248288,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
4,Addis Ababa,Addis Ababa,1997,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43.677376636999995,83.076371695,17.167525847,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
5,Addis Ababa,Addis Ababa,1997,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,109.083588765,43.677376636999995,16.460943823,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
6,Addis Ababa,Addis Ababa,1997,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,250.46384504,109.083588765,15.621504061,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
7,Addis Ababa,Addis Ababa,1997,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,210.9519211,250.46384504,15.675990049000001,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
8,Addis Ababa,Addis Ababa,1997,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,97.734329801,210.9519211,16.174792159000003,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
9,Addis Ababa,Addis Ababa,1997,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,70.31190932,97.734329801,15.165917635,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
